PERIODO;XNPT;XPNOT;XOTROS;IMPBCON;IMPINS;IMPBCAP;IMPOTROS;BAL
Abr-98;230.05;160.82;6.89;182.53;297.67;253.29;23.31;-359.05
May-98;280.32;175.67;7.29;168.09;271.32;220.83;29.93;-226.88
Jun-98;292.52;178.42;7.3;163.32;306.38;230.79;23.94;-246.19
Jul-98;333.91;177.85;6.05;168.83;291.72;218.54;19.36;-180.63
Ago-98;381.2;149.75;5.37;161.33;320.87;200.46;10.53;-156.86
Oct-98;341.16;176.41;7.68;145.07;272.26;190.37;12.86;-95.31
Nov-98;357.67;160.53;6.94;158.73;247.13;192.25;18.25;-91.22
Dic-98;430.78;168.13;6.08;144.9;223.04;199.06;125.52;-87.53
Ene-99;381.07;141.87;5.26;114.74;200.94;173.82;6.98;31.73
Feb-99;279.61;136.83;4.26;113.59;191.6;160.65;23.48;-68.61
Mar-99;311.6;147.18;4.74;131.73;234.08;174.76;13.43;-90.48
Abr-99;295.67;133.81;5.4;114.34;232.39;191.52;6.13;-109.51
May-99;346.98;150.45;5.41;116.86;216.27;170.23;12.85;-13.36
Jun-99;314.41;150.96;5.84;113.22;234.51;179.57;10.97;-67.06
Jul-99;378.97;151.89;6.29;111.16;230.13;162.24;10.07;23.54
Ago-99;395.96;147.38;5.03;126.47;264.39;166.97;9.77;-19.21
Oct-99;358.73;179.26;7.33;122.27;268.66;188.72;14.2;-48.53
Nov-99;383.25;169.27;7.29;139.57;307.41;176.52;13.88;-77.57
Dic-99;382.73;191.12;7.29;143.71;298.68;196.49;15.32;-73.07
Ene-00;378.11;166.89;5.66;95.87;264.55;208.53;18.3;-36.59
Feb-00;354.56;166.66;5.67;115.99;279.13;160.19;14.21;-42.64
Mar-00;400.01;157.33;5.73;131.74;273.43;192.14;21.18;-55.42
Abr-00;344.51;151.62;6.2;117.82;276.49;155.6;13.64;-61.22
May-00;382.13;155.28;6.82;127.95;305.71;194.01;7.9;-91.34
Jun-00;430.04;168.22;10.52;114.96;319.46;196.61;9.44;-31.69
Jul-00;442.28;177.27;9.99;121.59;319.93;152.29;9.19;26.54
Ago-00;446.96;169.17;11.92;132.88;310.38;174.8;9.93;0.06
Oct-00;455.56;213.38;11.13;147.26;389.72;168.76;6.05;-31.71
Nov-00;354.96;181.39;11.43;146.77;303.91;178.35;11.01;-92.26
Dic-00;430.5;188.54;11.28;127.12;282.93;183.14;12.47;24.66
Ene-01;359.15;182.73;8.74;116.51;291.19;173.53;10.37;-40.98
Feb-01;339.49;178.56;9.22;115.58;284.01;228.53;15.43;-116.28
Mar-01;351.82;175.39;8.68;144;290.7;153.65;10.47;-62.93
Abr-01;366.9;162.98;7.5;134.58;291.65;147.1;7.93;-43.88
May-01;403.76;180.35;8.77;136.97;332.34;170.62;9.88;-56.95
Jun-01;443.33;154.82;9.19;118.28;257.01;145.27;6.41;80.37
Jul-01;471.75;224.89;11.25;138.86;317.56;173.96;4.49;73.03
Ago-01;451.33;179.71;10.27;148.4;319.35;158.49;3.9;11.15
Oct-01;405.49;184.57;9.28;158.63;293.16;156.05;7.43;-15.93
Nov-01;389.3;181.69;8.69;156.86;281.8;144.45;3.79;-7.21
Dic-01;401.44;194.94;10.02;137.48;270.62;137.86;8.24;52.2
Ene-02;342.06;170.87;6.44;129.99;289.74;161.36;6.43;-68.15
Feb-02;327.28;170.87;5.83;121.15;264.96;140.3;5.82;-28.25
Mar-02;387.58;169.63;6.11;128.02;244.58;134.73;3.71;52.29
Abr-02;360.26;170.75;6.46;158.54;330.79;151.3;10.34;-113.5
May-02;502.82;169.82;9.53;147.56;348.82;158.6;3.86;23.33
Jun-02;549.02;204.34;7.26;123.2;286.6;124.32;3.45;223.06
Jul-02;529.37;182.14;7.22;143.82;362.04;163.35;3.3;46.23
Ago-02;530.19;183.48;7.86;151.07;311.32;145.96;3.49;109.69
Oct-02;420.06;210.13;7.44;161.89;318.55;171.71;3.79;-18.31
Nov-02;413.46;196.55;7.45;169.82;308.41;149.01;3.64;-13.42
Dic-02;506.62;235.79;8.7;166.42;303.15;199.72;3.53;78.3
Ene-03;496.76;190.35;10.11;143.49;357.23;203.85;5.35;-12.69
Feb-03;489.71;191.1;9.09;130.81;337.3;142.5;2.84;76.46
Mar-03;429.15;206.72;7.93;144.53;392.96;159.26;9.01;-61.95
Abr-03;440.57;189.32;13.39;159.22;372.13;148.93;3.91;-40.91
May-03;560.73;195.58;7.45;153.69;309.27;159.14;4.08;137.59
Jun-03;589.62;214.59;9.54;145.46;352.62;157.86;3.53;154.28
Jul-03;569.39;215.49;9.26;153.63;393.52;175.67;3.73;67.59
Ago-03;539.73;219.79;8.84;147.36;318.88;183.22;3.35;115.54
Oct-03;547.46;243.19;9.98;175.33;384.64;161.34;3.51;75.81
Nov-03;506.59;252.32;10.5;164.67;359.91;156.83;3.38;84.62
Dic-03;638.18;270.68;10.02;160.82;392.7;164.76;3.6;196.99
Ene-04;618.99;251.22;9.96;131.33;368.53;186.03;7.1;187.18
Feb-04;637.82;256.05;10.12;127.98;364.44;158.84;5.13;247.61
Mar-04;725.22;275.43;9.88;153.78;428.41;182.51;4.16;241.67
Abr-04;639.1;241.05;11.54;162.39;455.78;205.98;7.43;60.1
May-04;687.66;291.16;10.02;152.38;408.65;192.56;5.98;229.27
Jun-04;723.25;258.47;11.84;151.46;482.77;186.55;5.66;167.13
Jul-04;828.39;300.8;10.99;160.26;427.66;195.7;4.41;352.15
Ago-04;843.69;303.26;9.03;165.06;504.39;222.7;6.22;257.61
Oct-04;865.51;314.39;12.24;187.39;468.08;193.52;4.78;338.38
Nov-04;774.81;321.02;10.64;213.06;475.65;209.96;6.63;201.17
Dic-04;1010.53;374.16;12.39;210.5;517.28;230.78;10.82;427.7
Ene-05;921.77;331.39;10.89;158.27;516.02;236.74;6.96;346.07
Feb-05;808.72;319.79;8.48;159.28;438.32;202.4;6.8;330.2
Mar-05;1008.4;327.95;11.14;186.1;513.09;218.53;17.38;412.4
Abr-05;907.38;336.95;13.47;196.42;581.66;269.49;9.1;201.13
May-05;974.82;364.68;15.29;191.02;545.12;249.37;8.14;361.13
Jun-05;1079.01;332.05;10.89;180.19;538.42;229.42;8.11;465.8
Jul-05;1177.54;370.61;10.26;178.27;599.05;261.53;7.88;511.68
Ago-05;1122.66;357.05;12.07;210.98;605;267.33;9.09;399.39
Oct-05;1064.59;392.01;12.27;201.96;627.35;251.77;8.63;379.17
Nov-05;1139.22;394.42;12.68;235.78;554.65;312.39;10.84;432.65
Dic-05;1605.45;396.79;11.86;202.3;552.68;288.23;7.19;963.7
Ene-06;1045.6;378.15;6.8;184.24;572.32;306.12;6.97;360.91
Feb-06;1096.46;343.7;7.99;173.74;570.91;272.83;9.54;421.13
Mar-06;1338.95;397.5;9.46;207.12;697.01;352.35;27.33;462.09
Abr-06;1432.34;381.31;8.19;195.15;606.04;305.99;5.87;708.79
May-06;1501.49;433.8;9.13;225.3;684.82;326.37;16.92;691.01
Jun-06;1613.21;421.59;8.21;197.79;717.95;340.25;7.16;779.86
Jul-06;1891.22;463.49;8.61;200.59;674.76;312.22;8.01;1167.73
Ago-06;1521.39;490.12;7.13;233.05;646.09;363.05;7.68;768.77
Oct-06;1516.71;546.77;7.06;260.32;771.73;360.15;9.2;669.14
Nov-06;1655.61;529.74;6.01;278.82;639.3;409.22;9.19;854.83
Dic-06;2077.71;502.93;3.68;251.74;712.54;452.37;8.86;1158.83
Ene-07;1274.67;466.07;6.75;218.02;763.8;449.47;6.79;309.4
Feb-07;1462.43;438.4;6.93;214.92;718.57;424.15;7.73;542.38
Mar-07;1636.88;457.45;5.22;254.07;724.78;417.21;8.69;694.78
Abr-07;1642.94;467.2;9.61;240.04;806.61;414.4;10.93;647.78
May-07;1663.75;471.6;9.21;261.85;725.07;489.2;9.03;659.42
Jun-07;1919.01;527.82;8.86;235.82;832.78;455.85;8.8;922.44
Jul-07;2142.08;562.78;7.44;275.64;925.25;550.82;7.42;953.17
Ago-07;1809.99;539.45;24.55;276.54;1016.22;513.81;12.7;554.72
Oct-07;2022.57;633.97;11.41;325.7;1133.74;560.89;14.35;633.28
Nov-07;1854.54;493.59;9.9;317.64;945.04;494.73;13.9;586.72
Dic-07;2225;720.39;7.88;302.63;909.86;576.25;8.37;1156.15
Ene-08;1917.79;625.4;8.65;324.16;1242.14;611.85;10.49;363.19
Feb-08;1911.52;565.31;6.22;309.55;979.12;581.2;11.74;601.44
Mar-08;2154.3;601.96;12.73;340.95;1216.51;627.89;10.82;572.81
Abr-08;2072.59;607.39;12.26;374.81;1195.62;729.88;9.57;382.37
May-08;2251.76;611.88;15.74;361.93;1370.02;740.02;8.67;398.75
Jun-08;2149.65;644.79;18.26;363.51;1461.79;924.39;12.75;50.25
Jul-08;2316.81;670.79;24.98;393.7;1507.67;846.72;12.18;252.31
Ago-08;2188.37;658.54;28.27;380.35;1217.23;861.9;9.98;405.71
Oct-08;1597.3;680.26;17.19;450.04;1317.01;914.29;13.29;-399.86
Nov-08;1419.58;634.51;13.14;428.52;863.77;729.69;14.34;30.9
Dic-08;1376.78;579.25;8.26;382.28;754.11;772.81;12.17;42.92
Ene-09;1148.57;471.91;10.08;315.1;711.51;736.25;9.39;-141.68
Feb-09;1360.8;444.33;10.04;303.3;621.84;604.09;11.73;274.21
Mar-09;1436.36;518.43;7.88;310.29;738.62;508.08;13.23;392.45
Abr-09;1347.98;427.92;13.32;304.92;786.77;571.25;10.85;115.43
May-09;1678.61;461.74;14.48;291.77;678.01;507.11;9.37;668.57
Jun-09;1668.63;513.67;10.04;306.49;836.77;512.08;11.25;525.74
Jul-09;1814.83;518.6;11.52;319.64;838.62;582.65;8.51;595.53
Ago-09;1800.68;521.82;9.82;321.71;876.09;530.02;10.39;594.12
Oct-09;2015.35;544.49;19.21;372.89;1010.53;558.99;8.21;628.44
Nov-09;2108.7;593.51;16.53;379.21;1054.78;571.18;8.94;704.62
Dic-09;2372.3;640;18.97;368.01;981.97;645.93;9.75;1025.6
Ene-10;1927.07;493.12;18.65;335.85;1057.95;638.66;42.11;364.27
Feb-10;2095.34;533.84;20.01;351.44;930.57;579.95;11.85;775.38
Mar-10;2216.21;576.59;24.58;438.22;1182.04;751.8;15.36;429.95
Abr-10;2058.72;588.84;23.63;415.19;1154.39;633.95;24.4;443.27
May-10;1840.75;534.44;15.97;376.34;1028.98;672.7;10.18;302.94
Jun-10;2443.99;685.43;23.91;457.6;1073.72;750.19;12.51;859.31
Jul-10;2360.63;658.01;16.71;466.13;1281.3;777.7;13.67;496.55
Ago-10;2406.61;613.18;15.86;501.65;1225.58;831.25;20.45;456.72
Oct-10;2421;730;19.41;560.14;1304.71;785.46;13.08;507.03
Nov-10;2531.03;797.12;27.95;567.49;1277.51;846.68;12.86;651.57
Dic-10;2915.97;829.45;27.59;484.27;1270.29;890.8;40.83;1086.81
Ene-11;2248.8;694.21;21.1;443.65;1410.62;824.84;34.67;250.33
Feb-11;2605.82;743.54;28.61;437.3;1199.44;900.09;45.22;795.93
Mar-11;2903.42;818.17;29.76;545.28;1414.59;926.82;15.3;849.36
Abr-11;2625.39;769.01;23.12;505.72;1675.33;921.16;32.7;282.6
May-11;3265.48;814.25;25.74;513.13;1602.82;1074.64;39.84;875.03
Jun-11;3378.78;794.08;31.26;545.06;1586.08;1091.5;18.97;962.53
Jul-11;3267.25;904.91;22.7;532.8;1503.31;962.38;42.43;1153.93
Ago-11;3613.35;917.19;24.37;652.03;1745.8;1032.84;27.77;1096.47
Oct-11;3050.39;861.19;24.42;628.12;1540.76;966.6;19.68;780.83
Nov-11;2381.93;946.15;24.2;687.59;1545.56;1003.11;13.91;102.11
Dic-11;3498.9;1010.17;30.46;585.97;1655.09;983.9;24.42;1290.16
Ene-12;3147.63;858.87;22.75;610.26;1674.44;990.76;9.61;744.17
Feb-12;2969.41;821.39;33.09;609.12;1329.25;912.7;10.09;962.73
Mar-12;3174.48;957.96;33.57;628.73;1538.6;1204.55;6.54;787.59
Abr-12;2390.64;802.81;33.53;571.43;1537.13;1073.9;6.51;38.01
May-12;2786.52;899.88;31.67;696.79;1617.27;1233.78;6.69;163.54
Jun-12;2879.64;965.38;26.21;671.97;1450.46;1101.18;6.76;640.87
Jul-12;3108.01;951.06;25.57;718.2;1797.23;1195.15;6.78;367.28
Ago-12;2976.33;990.06;23;754.7;1794.76;1232.32;8.74;198.87
Oct-12;3092.94;960.21;30.51;810.81;1820.66;1119.28;9.98;322.92
Nov-12;2967.64;1033.86;29.9;807.06;1669.76;1099.15;13.36;442.07
Dic-12;3114.66;1053.6;32.02;666.81;1377.16;1081.05;53.8;1021.46
Ene-13;2597.59;867.23;28.4;680.08;1842.42;1221.53;200;-450.82
Feb-13;2423.86;813.49;24.06;654.94;1478.6;1034.5;7.01;86.36
Mar-13;2866.48;858.12;29.21;661.38;1525.55;1082.57;6.19;478.13
Abr-13;2390.69;817.96;20.5;733.27;1618.42;1153.14;9.76;-285.44
May-13;2627.17;897.96;21.92;734.64;1754.52;1295.33;12.79;-250.25
Jun-13;2436.82;886.26;21.59;691.19;1389.8;1114.15;7.57;141.96
Jul-13;2514.09;912.46;18.28;781.29;1730.61;1232.96;15.61;-315.65
Ago-13;3222.77;945.36;17.99;775.33;1923.86;1231.83;14.27;240.84
Oct-13;2685.77;973.13;15.23;877.92;1728.19;1159.74;16.8;-108.52
Nov-13;2345.13;1072.62;11.51;784.75;1500.42;1092.13;10.81;41.14
Dic-13;2716.27;1134.55;13.19;683.15;1468.48;987.08;7.54;717.77
Ene-14;2227.25;928.43;13.05;668.5;1742.4;1188.79;245.33;-676.27
Feb-14;2363.31;946.65;20.31;661.83;1316.68;981.76;9.65;360.34
Mar-14;2268.95;985.18;26.61;747.61;1614.61;1002.36;5.97;-89.81
Abr-14;2256.89;853.57;16.71;772.77;1589.34;1200.73;7.53;-443.19
May-14;2191.88;920.86;13.41;738.84;1609.66;1129.26;8.66;-360.27
Jun-14;2277.63;944.28;16.17;675.03;1488.12;1119.85;23.79;-68.71
Jul-14;2382.53;972.47;10.77;723.11;1723.95;1107.41;7.13;-195.83
Ago-14;2625.94;982.31;15.35;758;1742.2;1066.99;79.85;-23.43
Oct-14;2336.81;1015.88;10.16;825.04;1641.73;1081.43;7.09;-192.43
Nov-14;2094.46;1051.55;8.89;832.63;1395.78;1005.45;21.67;-100.63
Dic-14;2244.55;1128.38;6.84;727.81;1370.92;989.87;10.25;280.91
Ene-15;1877.76;938.62;5.89;691.23;1427.22;1010.01;124.96;-431.16
Feb-15;1708.12;912.87;5.75;665.93;1211.63;877.1;6.69;-134.6
Mar-15;1787.52;902.93;8.35;760.81;1359.42;1059.81;58.84;-540.07
Abr-15;1677.66;736.5;7.34;659.6;1333.52;1015.56;23.72;-610.9
May-15;1797.88;858.53;5.68;658.56;1298.94;999.78;64.74;-359.93
Jun-15;2294.31;895.86;9.17;707.47;1472.2;1009.92;100.93;-91.18
Jul-15;1960.6;890.52;7.9;740.47;1358.58;1021.69;25.24;-286.96
Ago-15;2193.36;849.88;7.84;783.42;1343.84;1014.05;19.76;-110
Oct-15;2156.77;948.76;8.09;780.66;1306.39;1016.45;6.86;3.26
Nov-15;1953.38;984.95;7.38;818.54;1231.03;978.18;173.41;-255.46
Dic-15;2168.56;1108.31;8.29;685.11;1230.47;1033.31;51.63;284.64
Ene-16;1574.63;892.66;7.6;651.2;1220.33;1030.02;78.4;-505.06
Feb-16;1660.54;790.3;5.97;660.93;1062.69;853.86;8.39;-129.06
Mar-16;2022.19;793.1;6.81;726.96;1162.99;893.32;32.04;6.8
Abr-16;2017.22;780.29;6.88;626.3;1115.98;986.65;16.92;58.54
May-16;2017.22;832.62;8.35;658.22;1162.67;926.72;18.03;92.54
Jun-16;1895.42;800.6;7.81;674.91;1319.8;884.96;8.32;-184.16
Jul-16;2457.88;885.15;8.87;682.88;1232.62;833.42;10.86;592.11
Ago-16;2362.2;889.68;8.16;794.78;1401.04;956.92;15.94;91.35
Oct-16;2575.18;974.87;11.78;766.75;1384.98;1030.8;10.32;369
Nov-16;2392.86;1004.31;11.66;785.34;1273.08;939.02;21.1;390.28
Dic-16;2880.89;1225.47;9.45;738.92;1331.92;939.35;19.09;1086.54
Ene-17;2320.32;964.09;12.41;652.39;1395.79;895.33;25.67;327.66
Feb-17;2744.43;821.23;10.75;659.44;1385.33;790.43;5.34;735.86
Mar-17;2417.43;872.01;10.72;772.08;1527.59;865.6;16.75;118.13
Abr-17;2333.27;798.45;7.92;690.4;1414.87;846.74;24.98;162.66
May-17;2571.39;966.65;9;792.12;1432.77;937.28;8.22;376.65
Jun-17;2912.87;946.08;10.58;772.23;1384.99;900.78;8.06;803.49
Jul-17;2454.97;984.65;7.56;789.79;1379.01;1015.77;20.03;242.57
Ago-17;3034.44;1022.38;10.62;876.94;1585.07;1035.59;7.11;562.73
Oct-17;2940.45;1033.51;12.6;889.31;1653.63;1051.21;9.65;382.75
Nov-17;3132.47;1068.78;11.47;851.08;1603.46;1072.76;20.43;664.98
Dic-17;3318.11;1252.96;13.32;761.12;1630.13;946.45;6.88;1239.83
Ene-18;2947.26;1128.62;12.75;740.76;1682.21;947.62;35.9;682.13
Feb-18;2670.48;990.59;9.91;752.36;1489.86;857.61;7.46;563.7
Mar-18;3153.47;1023.11;14.92;857.31;1647.62;1011.84;8.01;666.72
Abr-18;2761.64;1031.25;14.3;800.53;1686.23;973.47;6.59;340.36
May-18;3118.45;1114.55;12;822.69;1826.22;1007.48;9.1;579.51
Jun-18;3434.99;1094.56;11.04;752.74;1696.58;915.84;6.18;1169.26
Jul-18;3015.24;1068.53;14.07;808.04;1727.51;998.29;7.65;556.35
Ago-18;2887.52;1157.9;13.11;824.71;2008.14;1003.06;12.51;210.1
Oct-18;2775.03;1190.2;23.87;879.61;2067.29;1058.27;7.34;-23.43
Nov-18;3004.24;1137.82;26.93;836.93;1551.83;1034.06;7.44;738.73
Dic-18;3046.5;1255.41;20.38;724.38;1465.83;926.31;6.98;1198.77
Ene-19;2709.79;1241.67;13.1;782.95;1697.44;986.32;18.18;479.67
Feb-19;2563.95;962.95;12.84;756.47;1551.16;901.18;4.91;326.03
Mar-19;2696.48;1060.59;18.48;787.97;1541.31;942.85;5.95;497.48
Abr-19;2763.23;1021;14.71;728.39;1723.1;1019.27;5.86;322.31
May-19;2644.47;1060.53;14.15;801.3;1635.54;1113.45;7.32;161.53
Jun-19;2954.99;1147.26;10.69;754.65;1462.12;955.28;8.41;932.48
Jul-19;2983.24;1238.53;7.73;827.51;1606.23;1092.72;8.79;694.26
Ago-19;2843.87;1092.77;13.09;839.6;1672.05;1101.5;9.52;327.06
Oct-19;2952.66;1212.22;16.04;887.37;1757.27;1062.98;6.02;467.29
Nov-19;2806;1230.49;10.15;769.81;1422.91;1057.85;7.12;788.94
Dic-19;3504.68;1381.66;5.34;814.53;1513.11;1061.28;10.49;1492.27
Ene-20;2692.29;1207.98;13.69;808.37;1718.72;1060.62;13.29;312.96
Feb-20;2546.61;1013.75;13.33;767.97;1369.82;840.75;5.22;589.91
Mar-20;2043.48;811.67;12.47;596.4;1231.2;746.07;4.39;289.57
Abr-20;1296.05;561.11;7.96;489.7;1119.05;705.65;7.52;-456.81
May-20;1294.24;709.25;7.5;557.39;1043.72;609.09;4.65;-203.88
Jun-20;2074.46;828.71;7.22;641.87;961.23;653.81;4.82;648.66
Jul-20;2645.1;1052.84;8.82;757.21;1163.73;799.94;4.9;980.97
Ago-20;2460.16;1174.67;8.61;754.69;1122.14;881.93;9.68;875.01
Oct-20;3261.49;1455.23;10.61;875.74;1300.82;1055.9;8.47;1486.4
Nov-20;2977.3;1319.69;9.93;824.76;1501.92;986.65;6.13;987.45
Dic-20;3562.02;1456.5;12.17;853.56;1664.58;1201.17;5.57;1305.82
Ene-21;3235.79;1289.01;12.89;677.22;1552.94;1029.93;9.39;1268.22
Feb-21;3272.27;1159.36;12.88;805.28;1633.16;1041.09;5.33;959.64
Mar-21;3479.53;1113.92;17.54;913.83;1821.61;1217.14;5.94;652.48
Abr-21;3409.56;1197.42;15.29;827.54;1911.03;1210.91;35.49;637.3
May-21;3708.37;1235.48;16.77;809.62;1968.74;1206.32;5.63;970.31
Jun-21;3925.54;1189.89;14.43;816.6;1937.62;1145.09;20.91;1209.64
Jul-21;3781.27;1419.95;17.64;878.57;1957.79;1198.86;18.21;1165.43
Ago-21;3890.49;1386.57;6.72;825.43;2124.74;1181.43;5.79;1146.4
