PERIODO;XNPT;XPNOT;XOTROS;XNT;IMPBCON;IMPINS;IMPBCAP;IMPOTROS;IMP;BAL
2000-02-01;354.56;166.66;5.67;526.88;115.99;279.13;160.19;14.21;569.52;-42.64
2000-03-01;400.01;157.33;5.73;563.08;131.74;273.43;192.14;21.18;618.49;-55.42
2000-04-01;344.51;151.62;6.20;502.33;117.82;276.49;155.60;13.64;563.55;-61.22
2000-05-01;382.13;155.28;6.82;544.23;127.95;305.71;194.01;7.90;635.57;-91.34
2000-06-01;430.04;168.22;10.52;608.78;114.96;319.46;196.61;9.44;640.47;-31.69
2000-07-01;442.28;177.27;9.99;629.54;121.59;319.93;152.29;9.19;603.00;26.54
2000-08-01;446.96;169.17;11.92;628.05;132.88;310.38;174.80;9.93;627.99;0.06
2000-09-01;384.81;148.00;10.37;543.18;114.26;284.91;149.54;5.52;554.24;-11.06
2000-10-01;455.56;213.38;11.13;680.08;147.26;389.72;168.76;6.05;711.79;-31.71
2000-11-01;354.96;181.39;11.43;547.78;146.77;303.91;178.35;11.01;640.04;-92.26
2000-12-01;430.50;188.54;11.28;630.32;127.12;282.93;183.14;12.47;605.66;24.66
2001-01-01;359.15;182.73;8.74;550.62;116.51;291.19;173.53;10.37;591.60;-40.98
2001-02-01;339.49;178.56;9.22;527.27;115.58;284.01;228.53;15.43;643.55;-116.28
2001-03-01;351.82;175.39;8.68;535.89;144.00;290.70;153.65;10.47;598.82;-62.93
2001-04-01;366.90;162.98;7.50;537.38;134.58;291.65;147.10;7.93;581.27;-43.88
2001-05-01;403.76;180.35;8.77;592.87;136.97;332.34;170.62;9.88;649.82;-56.95
2001-06-01;443.33;154.82;9.19;607.33;118.28;257.01;145.27;6.41;526.97;80.37
2001-07-01;471.75;224.89;11.25;707.90;138.86;317.56;173.96;4.49;634.86;73.03
2001-08-01;451.33;179.71;10.27;641.30;148.40;319.35;158.49;3.90;630.15;11.15
2001-09-01;346.54;182.15;11.04;539.72;128.75;321.81;131.75;8.76;591.07;-51.35
2001-10-01;405.49;184.57;9.28;599.35;158.63;293.16;156.05;7.43;615.27;-15.93
2001-11-01;389.30;181.69;8.69;579.69;156.86;281.80;144.45;3.79;586.90;-7.21
2001-12-01;401.44;194.94;10.02;606.40;137.48;270.62;137.86;8.24;554.20;52.20
2002-01-01;342.06;170.87;6.44;519.37;129.99;289.74;161.36;6.43;587.52;-68.15
2002-02-01;327.28;170.87;5.83;503.98;121.15;264.96;140.30;5.82;532.23;-28.25
2002-03-01;387.58;169.63;6.11;563.33;128.02;244.58;134.73;3.71;511.04;52.29
2002-04-01;360.26;170.75;6.46;537.48;158.54;330.79;151.30;10.34;650.98;-113.50
2002-05-01;502.82;169.82;9.53;682.17;147.56;348.82;158.60;3.86;658.83;23.33
2002-06-01;549.02;204.34;7.26;760.62;123.20;286.60;124.32;3.45;537.56;223.06
2002-07-01;529.37;182.14;7.22;718.73;143.82;362.04;163.35;3.30;672.50;46.23
2002-08-01;530.19;183.48;7.86;721.53;151.07;311.32;145.96;3.49;611.83;109.69
2002-09-01;499.84;191.79;8.87;700.50;152.66;371.41;141.92;4.67;670.66;29.84
2002-10-01;420.06;210.13;7.44;637.63;161.89;318.55;171.71;3.79;655.94;-18.31
2002-11-01;413.46;196.55;7.45;617.45;169.82;308.41;149.01;3.64;630.88;-13.42
2002-12-01;506.62;235.79;8.70;751.11;166.42;303.15;199.72;3.53;672.82;78.30
2003-01-01;496.76;190.35;10.11;697.22;143.49;357.23;203.85;5.35;709.91;-12.69
2003-02-01;489.71;191.10;9.09;689.90;130.81;337.30;142.50;2.84;613.44;76.46
2003-03-01;429.15;206.72;7.93;643.80;144.53;392.96;159.26;9.01;705.75;-61.95
2003-04-01;440.57;189.32;13.39;643.28;159.22;372.13;148.93;3.91;684.19;-40.91
2003-05-01;560.73;195.58;7.45;763.76;153.69;309.27;159.14;4.08;626.18;137.59
2003-06-01;589.62;214.59;9.54;813.75;145.46;352.62;157.86;3.53;659.47;154.28
2003-07-01;569.39;215.49;9.26;794.14;153.63;393.52;175.67;3.73;726.54;67.59
2003-08-01;539.73;219.79;8.84;768.36;147.36;318.88;183.22;3.35;652.82;115.54
2003-09-01;548.43;231.24;7.95;787.62;162.29;368.73;160.89;3.16;695.07;92.56
2003-10-01;547.46;243.19;9.98;800.63;175.33;384.64;161.34;3.51;724.82;75.81
2003-11-01;506.59;252.32;10.50;769.40;164.67;359.91;156.83;3.38;684.78;84.62
2003-12-01;638.18;270.68;10.02;918.87;160.82;392.70;164.76;3.60;721.88;196.99
2004-01-01;618.99;251.22;9.96;880.17;131.33;368.53;186.03;7.10;692.99;187.18
2004-02-01;637.82;256.05;10.12;903.99;127.98;364.44;158.84;5.13;656.39;247.61
2004-03-01;725.22;275.43;9.88;1010.53;153.78;428.41;182.51;4.16;768.86;241.67
2004-04-01;639.10;241.05;11.54;891.68;162.39;455.78;205.98;7.43;831.58;60.10
2004-05-01;687.66;291.16;10.02;988.84;152.38;408.65;192.56;5.98;759.57;229.27
2004-06-01;723.25;258.47;11.84;993.57;151.46;482.77;186.55;5.66;826.44;167.13
2004-07-01;828.39;300.80;10.99;1140.18;160.26;427.66;195.70;4.41;788.03;352.15
2004-08-01;843.69;303.26;9.03;1155.98;165.06;504.39;222.70;6.22;898.36;257.61
2004-09-01;843.60;292.09;12.83;1148.52;179.54;462.00;195.86;16.70;854.10;294.43
2004-10-01;865.51;314.39;12.24;1192.14;187.39;468.08;193.52;4.78;853.77;338.38
2004-11-01;774.81;321.02;10.64;1106.47;213.06;475.65;209.96;6.63;905.31;201.17
2004-12-01;1010.53;374.16;12.39;1397.08;210.50;517.28;230.78;10.82;969.38;427.70
2005-01-01;921.77;331.39;10.89;1264.05;158.27;516.02;236.74;6.96;917.98;346.07
2005-02-01;808.72;319.79;8.48;1137.00;159.28;438.32;202.40;6.80;806.80;330.20
2005-03-01;1008.40;327.95;11.14;1347.49;186.10;513.09;218.53;17.38;935.10;412.40
2005-04-01;907.38;336.95;13.47;1257.79;196.42;581.66;269.49;9.10;1056.67;201.13
2005-05-01;974.82;364.68;15.29;1354.78;191.02;545.12;249.37;8.14;993.65;361.13
2005-06-01;1079.01;332.05;10.89;1421.94;180.19;538.42;229.42;8.11;956.14;465.80
2005-07-01;1177.54;370.61;10.26;1558.41;178.27;599.05;261.53;7.88;1046.72;511.68
2005-08-01;1122.66;357.05;12.07;1491.79;210.98;605.00;267.33;9.09;1092.40;399.39
2005-09-01;1140.00;353.37;11.78;1505.15;207.20;528.55;276.36;10.29;1022.39;482.75
2005-10-01;1064.59;392.01;12.27;1468.87;201.96;627.35;251.77;8.63;1089.71;379.17
2005-11-01;1139.22;394.42;12.68;1546.31;235.78;554.65;312.39;10.84;1113.66;432.65
2005-12-01;1605.45;396.79;11.86;2014.10;202.30;552.68;288.23;7.19;1050.40;963.70
2006-01-01;1045.60;378.15;6.80;1430.56;184.24;572.32;306.12;6.97;1069.65;360.91
2006-02-01;1096.46;343.70;7.99;1448.15;173.74;570.91;272.83;9.54;1027.02;421.13
2006-03-01;1338.95;397.50;9.46;1745.91;207.12;697.01;352.35;27.33;1283.82;462.09
2006-04-01;1432.34;381.31;8.19;1821.84;195.15;606.04;305.99;5.87;1113.05;708.79
2006-05-01;1501.49;433.80;9.13;1944.42;225.30;684.82;326.37;16.92;1253.41;691.01
2006-06-01;1613.21;421.59;8.21;2043.00;197.79;717.95;340.25;7.16;1263.14;779.86
2006-07-01;1891.22;463.49;8.61;2363.31;200.59;674.76;312.22;8.01;1195.58;1167.73
2006-08-01;1521.39;490.12;7.13;2018.64;233.05;646.09;363.05;7.68;1249.87;768.77
2006-09-01;1770.37;389.43;8.30;2168.10;208.25;687.95;322.47;6.45;1225.12;942.98
2006-10-01;1516.71;546.77;7.06;2070.54;260.32;771.73;360.15;9.20;1401.40;669.14
2006-11-01;1655.61;529.74;6.01;2191.35;278.82;639.30;409.22;9.19;1336.52;854.83
2006-12-01;2077.71;502.93;3.68;2584.32;251.74;712.54;452.37;8.86;1425.49;1158.83
2007-01-01;1274.67;466.07;6.75;1747.48;218.02;763.80;449.47;6.79;1438.08;309.40
2007-02-01;1462.43;438.40;6.93;1907.76;214.92;718.57;424.15;7.73;1365.38;542.38
2007-03-01;1636.88;457.45;5.22;2099.54;254.07;724.78;417.21;8.69;1404.76;694.78
2007-04-01;1642.94;467.20;9.61;2119.75;240.04;806.61;414.40;10.93;1471.97;647.78
2007-05-01;1663.75;471.60;9.21;2144.56;261.85;725.07;489.20;9.03;1485.15;659.42
2007-06-01;1919.01;527.82;8.86;2455.69;235.82;832.78;455.85;8.80;1533.25;922.44
2007-07-01;2142.08;562.78;7.44;2712.30;275.64;925.25;550.82;7.42;1759.12;953.17
2007-08-01;1809.99;539.45;24.55;2373.98;276.54;1016.22;513.81;12.70;1819.27;554.72
2007-09-01;2012.55;534.42;6.73;2553.70;266.06;926.83;507.55;10.01;1710.45;843.25
2007-10-01;2022.57;633.97;11.41;2667.96;325.70;1133.74;560.89;14.35;2034.68;633.28
2007-11-01;1854.54;493.59;9.90;2358.03;317.64;945.04;494.73;13.90;1771.32;586.72
2007-12-01;2225.00;720.39;7.88;2953.26;302.63;909.86;576.25;8.37;1797.11;1156.15
2008-01-01;1917.79;625.40;8.65;2551.84;324.16;1242.14;611.85;10.49;2188.65;363.19
2008-02-01;1911.52;565.31;6.22;2483.05;309.55;979.12;581.20;11.74;1881.61;601.44
2008-03-01;2154.30;601.96;12.73;2768.98;340.95;1216.51;627.89;10.82;2196.17;572.81
2008-04-01;2072.59;607.39;12.26;2692.25;374.81;1195.62;729.88;9.57;2309.88;382.37
2008-05-01;2251.76;611.88;15.74;2879.37;361.93;1370.02;740.02;8.67;2480.63;398.75
2008-06-01;2149.65;644.79;18.26;2812.70;363.51;1461.79;924.39;12.75;2762.44;50.25
2008-07-01;2316.81;670.79;24.98;3012.58;393.70;1507.67;846.72;12.18;2760.26;252.31
2008-08-01;2188.37;658.54;28.27;2875.17;380.35;1217.23;861.90;9.98;2469.46;405.71
2008-09-01;1909.28;682.22;24.77;2616.26;410.32;1431.36;891.95;14.14;2747.77;-131.51
2008-10-01;1597.30;680.26;17.19;2294.76;450.04;1317.01;914.29;13.29;2694.62;-399.86
2008-11-01;1419.58;634.51;13.14;2067.23;428.52;863.77;729.69;14.34;2036.33;30.90
2008-12-01;1376.78;579.25;8.26;1964.29;382.28;754.11;772.81;12.17;1921.36;42.92
2009-01-01;1148.57;471.91;10.08;1630.57;315.10;711.51;736.25;9.39;1772.25;-141.68
2009-02-01;1360.80;444.33;10.04;1815.17;303.30;621.84;604.09;11.73;1540.96;274.21
2009-03-01;1436.36;518.43;7.88;1962.66;310.29;738.62;508.08;13.23;1570.21;392.45
2009-04-01;1347.98;427.92;13.32;1789.23;304.92;786.77;571.25;10.85;1673.79;115.43
2009-05-01;1678.61;461.74;14.48;2154.84;291.77;678.01;507.11;9.37;1486.27;668.57
2009-06-01;1668.63;513.67;10.04;2192.34;306.49;836.77;512.08;11.25;1666.60;525.74
2009-07-01;1814.83;518.60;11.52;2344.95;319.64;838.62;582.65;8.51;1749.42;595.53
2009-08-01;1800.68;521.82;9.82;2332.33;321.71;876.09;530.02;10.39;1738.21;594.12
2009-09-01;1967.39;539.65;12.34;2519.38;369.03;940.95;522.03;10.59;1842.59;676.79
2009-10-01;2015.35;544.49;19.21;2579.05;372.89;1010.53;558.99;8.21;1950.61;628.44
2009-11-01;2108.70;593.51;16.53;2718.74;379.21;1054.78;571.18;8.94;2014.12;704.62
2009-12-01;2372.30;640.00;18.97;3031.27;368.01;981.97;645.93;9.75;2005.67;1025.60
2010-01-01;1927.07;493.12;18.65;2438.84;335.85;1057.95;638.66;42.11;2074.57;364.27
2010-02-01;2095.34;533.84;20.01;2649.19;351.44;930.57;579.95;11.85;1873.81;775.38
2010-03-01;2216.21;576.59;24.58;2817.38;438.22;1182.04;751.80;15.36;2387.43;429.95
2010-04-01;2058.72;588.84;23.63;2671.19;415.19;1154.39;633.95;24.40;2227.93;443.27
2010-05-01;1840.75;534.44;15.97;2391.15;376.34;1028.98;672.70;10.18;2088.21;302.94
2010-06-01;2443.99;685.43;23.91;3153.32;457.60;1073.72;750.19;12.51;2294.01;859.31
2010-07-01;2360.63;658.01;16.71;3035.36;466.13;1281.30;777.70;13.67;2538.81;496.55
2010-08-01;2406.61;613.18;15.86;3035.65;501.65;1225.58;831.25;20.45;2578.92;456.72
2010-09-01;2632.96;658.52;20.00;3311.48;534.43;1236.43;914.56;12.10;2697.53;613.96
2010-10-01;2421.00;730.00;19.41;3170.41;560.14;1304.71;785.46;13.08;2663.38;507.03
2010-11-01;2531.03;797.12;27.95;3356.10;567.49;1277.51;846.68;12.86;2704.53;651.57
2010-12-01;2915.97;829.45;27.59;3773.00;484.27;1270.29;890.80;40.83;2686.19;1086.81
2011-01-01;2248.80;694.21;21.10;2964.12;443.65;1410.62;824.84;34.67;2713.78;250.33
2011-02-01;2605.82;743.54;28.61;3377.98;437.30;1199.44;900.09;45.22;2582.05;795.93
2011-03-01;2903.42;818.17;29.76;3751.35;545.28;1414.59;926.82;15.30;2901.99;849.36
2011-04-01;2625.39;769.01;23.12;3417.51;505.72;1675.33;921.16;32.70;3134.92;282.60
2011-05-01;3265.48;814.25;25.74;4105.47;513.13;1602.82;1074.64;39.84;3230.44;875.03
2011-06-01;3378.78;794.08;31.26;4204.13;545.06;1586.08;1091.50;18.97;3241.60;962.53
2011-07-01;3267.25;904.91;22.70;4194.85;532.80;1503.31;962.38;42.43;3040.92;1153.93
2011-08-01;3613.35;917.19;24.37;4554.92;652.03;1745.80;1032.84;27.77;3458.45;1096.47
2011-09-01;3056.83;902.97;18.02;3977.82;657.10;1453.08;1041.78;40.71;3192.66;785.16
2011-10-01;3050.39;861.19;24.42;3936.00;628.12;1540.76;966.60;19.68;3155.16;780.83
2011-11-01;2381.93;946.15;24.20;3352.28;687.59;1545.56;1003.11;13.91;3250.17;102.11
2011-12-01;3498.90;1010.17;30.46;4539.53;585.97;1655.09;983.90;24.42;3249.38;1290.16
2012-01-01;3147.63;858.87;22.75;4029.25;610.26;1674.44;990.76;9.61;3285.08;744.17
2012-02-01;2969.41;821.39;33.09;3823.89;609.12;1329.25;912.70;10.09;2861.15;962.73
2012-03-01;3174.48;957.96;33.57;4166.01;628.73;1538.60;1204.55;6.54;3378.42;787.59
2012-04-01;2390.64;802.81;33.53;3226.98;571.43;1537.13;1073.90;6.51;3188.97;38.01
2012-05-01;2786.52;899.88;31.67;3718.07;696.79;1617.27;1233.78;6.69;3554.53;163.54
2012-06-01;2879.64;965.38;26.21;3871.23;671.97;1450.46;1101.18;6.76;3230.36;640.87
2012-07-01;3108.01;951.06;25.57;4084.63;718.20;1797.23;1195.15;6.78;3717.36;367.28
2012-08-01;2976.33;990.06;23.00;3989.39;754.70;1794.76;1232.32;8.74;3790.52;198.87
2012-09-01;3260.82;901.94;23.04;4185.80;706.17;1666.49;1103.57;6.42;3482.65;703.16
2012-10-01;3092.94;960.21;30.51;4083.66;810.81;1820.66;1119.28;9.98;3760.74;322.92
2012-11-01;2967.64;1033.86;29.90;4031.40;807.06;1669.76;1099.15;13.36;3589.34;442.07
2012-12-01;3114.66;1053.60;32.02;4200.28;666.81;1377.16;1081.05;53.80;3178.82;1021.46
2013-01-01;2597.59;867.23;28.40;3493.22;680.08;1842.42;1221.53;200.00;3944.04;-450.82
2013-02-01;2423.86;813.49;24.06;3261.41;654.94;1478.60;1034.50;7.01;3175.05;86.36
2013-03-01;2866.48;858.12;29.21;3753.82;661.38;1525.55;1082.57;6.19;3275.68;478.13
2013-04-01;2390.69;817.96;20.50;3229.15;733.27;1618.42;1153.14;9.76;3514.59;-285.44
2013-05-01;2627.17;897.96;21.92;3547.04;734.64;1754.52;1295.33;12.79;3797.29;-250.25
2013-06-01;2436.82;886.26;21.59;3344.67;691.19;1389.80;1114.15;7.57;3202.71;141.96
2013-07-01;2514.09;912.46;18.28;3444.82;781.29;1730.61;1232.96;15.61;3760.47;-315.65
2013-08-01;3222.77;945.36;17.99;4186.12;775.33;1923.86;1231.83;14.27;3945.29;240.84
2013-09-01;2726.34;890.31;16.34;3632.99;785.33;1566.97;1058.70;13.07;3424.07;208.93
2013-10-01;2685.77;973.13;15.23;3674.13;877.92;1728.19;1159.74;16.80;3782.65;-108.52
2013-11-01;2345.13;1072.62;11.51;3429.26;784.75;1500.42;1092.13;10.81;3388.11;41.14
2013-12-01;2716.27;1134.55;13.19;3864.01;683.15;1468.48;987.08;7.54;3146.24;717.77
2014-01-01;2227.25;928.43;13.05;3168.74;668.50;1742.40;1188.79;245.33;3845.01;-676.27
2014-02-01;2363.31;946.65;20.31;3330.26;661.83;1316.68;981.76;9.65;2969.92;360.34
2014-03-01;2268.95;985.18;26.61;3280.74;747.61;1614.61;1002.36;5.97;3370.55;-89.81
2014-04-01;2256.89;853.57;16.71;3127.17;772.77;1589.34;1200.73;7.53;3570.36;-443.19
2014-05-01;2191.88;920.86;13.41;3126.15;738.84;1609.66;1129.26;8.66;3486.43;-360.27
2014-06-01;2277.63;944.28;16.17;3238.09;675.03;1488.12;1119.85;23.79;3306.79;-68.71
2014-07-01;2382.53;972.47;10.77;3365.76;723.11;1723.95;1107.41;7.13;3561.59;-195.83
2014-08-01;2625.94;982.31;15.35;3623.61;758.00;1742.20;1066.99;79.85;3647.03;-23.43
2014-09-01;2415.44;946.97;12.23;3374.64;767.94;1561.90;1037.00;7.95;3374.79;-0.15
2014-10-01;2336.81;1015.88;10.16;3362.86;825.04;1641.73;1081.43;7.09;3555.29;-192.43
2014-11-01;2094.46;1051.55;8.89;3154.91;832.63;1395.78;1005.45;21.67;3255.54;-100.63
2014-12-01;2244.55;1128.38;6.84;3379.77;727.81;1370.92;989.87;10.25;3098.86;280.91
2015-01-01;1877.76;938.62;5.89;2822.27;691.23;1427.22;1010.01;124.96;3253.42;-431.16
2015-02-01;1708.12;912.87;5.75;2626.75;665.93;1211.63;877.10;6.69;2761.35;-134.60
2015-03-01;1787.52;902.93;8.35;2698.81;760.81;1359.42;1059.81;58.84;3238.88;-540.07
2015-04-01;1677.66;736.50;7.34;2421.50;659.60;1333.52;1015.56;23.72;3032.40;-610.90
2015-05-01;1797.88;858.53;5.68;2662.08;658.56;1298.94;999.78;64.74;3022.02;-359.93
2015-06-01;2294.31;895.86;9.17;3199.34;707.47;1472.20;1009.92;100.93;3290.52;-91.18
2015-07-01;1960.60;890.52;7.90;2859.02;740.47;1358.58;1021.69;25.24;3145.97;-286.96
2015-08-01;2193.36;849.88;7.84;3051.09;783.42;1343.84;1014.05;19.76;3161.08;-110.00
2015-09-01;1856.23;866.93;5.87;2729.02;802.24;1337.29;966.42;7.15;3113.11;-384.09
2015-10-01;2156.77;948.76;8.09;3113.62;780.66;1306.39;1016.45;6.86;3110.36;3.26
2015-11-01;1953.38;984.95;7.38;2945.71;818.54;1231.03;978.18;173.41;3201.16;-255.46
2015-12-01;2168.56;1108.31;8.29;3285.16;685.11;1230.47;1033.31;51.63;3000.52;284.64
2016-01-01;1574.63;892.66;7.60;2474.89;651.20;1220.33;1030.02;78.40;2979.95;-505.06
2016-02-01;1660.54;790.30;5.97;2456.81;660.93;1062.69;853.86;8.39;2585.86;-129.06
2016-03-01;2022.19;793.10;6.81;2822.11;726.96;1162.99;893.32;32.04;2815.31;6.80
2016-04-01;2017.22;780.29;6.88;2804.39;626.30;1115.98;986.65;16.92;2745.85;58.54
2016-05-01;2017.22;832.62;8.35;2858.18;658.22;1162.67;926.72;18.03;2765.64;92.54
2016-06-01;1895.42;800.60;7.81;2703.83;674.91;1319.80;884.96;8.32;2887.98;-184.16
2016-07-01;2457.88;885.15;8.87;3351.89;682.88;1232.62;833.42;10.86;2759.78;592.11
2016-08-01;2362.20;889.68;8.16;3260.04;794.78;1401.04;956.92;15.94;3168.68;91.35
2016-09-01;2326.72;929.24;7.17;3263.13;840.35;1354.22;956.55;27.55;3178.67;84.45
2016-10-01;2575.18;974.87;11.78;3561.83;766.75;1384.98;1030.80;10.32;3192.84;369.00
2016-11-01;2392.86;1004.31;11.66;3408.83;785.34;1273.08;939.02;21.10;3018.55;390.28
2016-12-01;2880.89;1225.47;9.45;4115.82;738.92;1331.92;939.35;19.09;3029.28;1086.54
2017-01-01;2320.32;964.09;12.41;3296.83;652.39;1395.79;895.33;25.67;2969.17;327.66
2017-02-01;2744.43;821.23;10.75;3576.41;659.44;1385.33;790.43;5.34;2840.55;735.86
2017-03-01;2417.43;872.01;10.72;3300.16;772.08;1527.59;865.60;16.75;3182.03;118.13
