PERIODO;XNT01;XNT02;XNT03;XNT04;XNT05;XNT06;XNT07;XNT08;XNT09;XNT10;XNT11;XNT12;XNT13;XNT14;XNT15;XNT16;XNT17;XNT18;XNT19;XNT20;XNT21;XNT
May98;12.36;12.12;0.25;33.33;0.17;0.00;32.63;0.53;210.27;72.41;7.55;11.95;51.35;14.55;17.85;31.48;2.42;0.71;24.36;24.36;0.00;280.32
Jun98;42.92;42.10;0.82;45.95;0.12;0.00;45.70;0.13;186.92;46.80;9.42;5.46;36.70;10.57;23.70;52.76;1.50;0.00;16.74;16.74;0.00;292.52
Jul98;42.68;38.85;3.83;45.85;0.03;0.18;44.83;0.81;226.61;77.87;8.83;11.71;66.19;10.95;12.70;32.37;2.89;3.09;18.76;18.76;0.00;333.91
Ago98;60.34;60.13;0.21;59.11;0.22;9.05;49.11;0.72;245.65;70.06;10.75;5.21;91.71;12.31;15.32;36.89;2.53;0.88;16.10;16.10;0.00;381.20
Sep98;39.54;37.66;1.89;47.53;0.33;7.99;38.95;0.25;261.07;68.55;8.85;3.88;103.08;9.38;23.88;39.63;1.84;1.98;14.62;14.62;0.00;362.76
Oct98;23.95;22.63;1.32;21.15;0.23;0.07;20.55;0.29;271.86;71.40;12.65;8.70;125.27;6.48;15.29;31.19;0.88;0.00;24.20;24.20;0.00;341.16
Nov98;35.88;33.30;2.57;19.32;0.09;6.97;12.10;0.17;285.83;64.47;10.93;4.74;138.87;11.43;15.36;38.58;0.92;0.53;16.63;16.63;0.00;357.67
Dic98;85.34;82.16;3.18;9.73;0.03;2.51;7.09;0.10;323.62;72.64;4.99;11.16;147.91;12.76;30.50;40.02;0.85;2.78;12.09;12.09;0.00;430.78
Ene99;60.28;52.52;7.76;4.28;0.27;0.00;3.88;0.12;294.43;58.66;10.85;0.93;178.41;11.76;5.99;26.47;0.79;0.58;22.08;22.08;0.00;381.07
Feb99;39.82;34.93;4.88;3.19;0.11;0.00;2.86;0.22;225.49;51.96;14.29;4.58;97.07;10.64;11.58;33.13;1.83;0.40;11.11;11.11;0.00;279.61
Mar99;43.50;34.81;8.69;3.37;0.05;0.00;3.05;0.27;242.25;57.44;11.48;7.43;89.49;10.56;15.18;48.13;2.09;0.45;22.49;22.49;0.00;311.60
Abr99;48.90;44.88;4.02;9.71;0.13;0.00;8.85;0.73;219.55;50.14;6.82;5.51;88.27;12.27;16.42;37.71;1.98;0.43;17.51;17.51;0.00;295.67
May99;56.62;53.26;3.36;26.08;0.34;0.00;25.12;0.62;245.12;57.02;9.59;3.06;102.08;14.45;9.60;46.48;2.08;0.77;19.15;19.15;0.00;346.98
Jun99;65.03;58.08;6.94;35.79;0.03;0.00;35.53;0.22;208.32;37.80;11.45;7.09;78.50;13.09;19.06;38.89;2.02;0.41;5.27;5.27;0.00;314.41
Jul99;62.52;57.91;4.61;39.77;0.02;0.00;39.70;0.05;254.76;80.91;14.40;5.39;90.22;17.31;13.40;30.71;1.68;0.73;21.92;21.92;0.00;378.97
Ago99;56.83;49.19;7.64;44.63;0.03;9.38;35.13;0.09;265.07;80.99;12.12;6.91;90.27;12.54;29.84;28.88;3.27;0.25;29.43;29.43;0.00;395.96
Sep99;32.09;25.16;6.93;50.10;0.27;0.00;49.68;0.14;204.78;50.93;12.26;2.53;69.65;18.91;11.53;37.09;1.11;0.78;25.84;25.84;0.00;312.81
Oct99;10.37;7.89;2.49;28.49;0.21;0.00;28.05;0.23;289.69;85.44;7.82;6.64;114.12;15.34;7.52;50.47;1.86;0.47;30.17;30.17;0.00;358.73
Nov99;49.84;48.24;1.61;20.09;0.12;0.00;19.63;0.34;299.60;92.02;11.17;4.68;109.13;12.28;21.79;45.60;2.51;0.41;13.72;13.72;0.00;383.25
Dic99;75.09;65.97;9.12;16.59;0.01;0.00;16.42;0.17;258.96;73.05;10.64;11.97;85.25;20.19;15.17;38.83;3.11;0.77;32.09;32.09;0.00;382.73
Ene00;80.57;70.72;9.85;6.88;0.05;0.01;6.56;0.26;262.50;68.36;14.46;6.06;108.26;16.90;11.22;34.75;2.12;0.37;28.16;28.16;0.00;378.11
Feb00;70.15;61.85;8.30;5.87;0.08;0.00;5.56;0.23;252.63;54.91;13.25;6.53;106.92;12.48;8.14;45.81;3.83;0.77;25.91;25.91;0.00;354.56
Mar00;58.68;52.61;6.07;10.93;0.03;7.09;2.83;0.98;293.17;101.74;11.72;3.62;104.07;14.57;22.85;31.13;2.65;0.82;37.23;37.23;0.00;400.01
Abr00;76.23;65.66;10.57;6.65;0.09;0.00;6.38;0.19;241.34;40.11;12.65;5.86;97.84;17.48;15.44;49.23;2.23;0.49;20.28;20.28;0.00;344.51
May00;84.87;74.61;10.26;20.86;0.27;0.00;20.27;0.32;238.37;63.54;13.71;4.64;90.94;13.38;8.89;40.22;2.22;0.84;38.03;38.03;0.00;382.13
Jun00;102.07;94.69;7.39;27.92;0.71;0.00;27.01;0.21;268.76;79.20;12.75;3.06;95.59;13.31;20.99;41.00;2.48;0.37;31.30;31.30;0.00;430.04
Jul00;128.14;118.90;9.24;36.27;1.40;0.00;34.50;0.37;244.56;63.12;16.35;6.85;82.15;14.71;16.14;42.45;2.35;0.44;33.32;33.32;0.00;442.28
Ago00;109.14;101.12;8.02;38.08;1.15;0.00;36.51;0.42;266.09;75.33;16.16;6.27;82.08;16.05;21.07;45.80;2.78;0.54;33.66;33.66;0.00;446.96
Sep00;57.52;56.90;0.62;26.13;0.51;0.00;25.42;0.20;257.60;87.03;17.40;3.40;96.08;16.75;8.67;24.83;2.95;0.48;43.56;43.56;0.00;384.81
Oct00;74.66;69.57;5.10;31.26;0.40;0.00;30.14;0.71;307.88;90.96;14.73;7.25;91.57;18.02;29.68;51.39;3.43;0.87;41.76;41.76;0.00;455.56
Nov00;35.63;32.39;3.24;15.70;0.22;0.00;15.25;0.23;286.28;121.23;13.76;4.62;88.95;13.49;11.36;29.45;2.95;0.47;17.36;17.36;0.00;354.96
Dic00;76.98;74.99;1.99;22.39;0.11;8.92;12.89;0.47;300.97;87.06;13.31;8.40;100.24;12.35;15.94;59.70;3.14;0.82;30.17;30.17;0.00;430.50
Ene01;84.18;74.60;9.58;7.03;0.03;0.00;6.79;0.21;232.54;60.46;17.14;6.31;88.67;17.06;9.49;30.83;2.23;0.35;35.40;35.40;0.00;359.15
Feb01;63.97;59.34;4.63;5.00;0.04;0.00;4.15;0.81;234.85;69.21;13.66;8.79;79.36;14.14;15.93;30.05;3.05;0.68;35.67;35.67;0.00;339.49
Mar01;45.68;44.81;0.88;10.13;0.32;5.78;3.65;0.38;272.56;73.24;12.02;4.15;106.29;13.74;12.55;46.58;3.55;0.45;23.45;23.45;0.00;351.82
Abr01;74.10;67.16;6.95;8.72;0.32;2.72;5.06;0.62;236.37;71.38;10.14;3.60;80.51;15.25;19.16;33.40;2.24;0.68;47.71;47.71;0.00;366.90
May01;112.62;94.56;18.06;13.15;0.85;0.00;12.10;0.20;251.47;73.53;16.03;9.52;90.55;14.58;13.07;32.46;1.19;0.54;26.52;26.52;0.00;403.76
Jun01;152.42;136.80;15.62;15.38;0.00;0.00;14.95;0.44;236.52;63.62;7.57;2.83;87.61;11.36;21.67;37.71;3.68;0.48;39.01;39.01;0.00;443.33
Jul01;149.68;131.26;18.43;21.50;0.42;0.00;20.70;0.38;280.40;85.04;14.66;10.94;102.25;13.39;16.35;36.24;1.27;0.27;20.17;20.17;0.00;471.75
Ago01;91.91;87.70;4.21;26.36;0.06;0.00;25.99;0.30;297.22;90.00;10.92;9.59;115.48;15.66;17.31;34.49;3.07;0.70;35.84;35.84;0.00;451.33
Sep01;35.78;31.38;4.40;27.86;0.32;0.00;27.25;0.30;258.01;97.51;10.38;3.53;89.44;13.85;14.58;25.44;2.83;0.45;24.89;24.89;0.00;346.54
Oct01;23.12;20.10;3.01;28.71;1.32;0.00;26.40;1.00;311.50;100.93;8.79;8.33;124.55;13.73;18.52;33.34;2.72;0.58;42.17;42.17;0.00;405.49
Nov01;48.07;44.87;3.21;26.32;0.40;8.24;17.19;0.49;280.14;99.44;14.85;11.07;102.76;13.37;7.70;25.95;4.81;0.19;34.77;34.77;0.00;389.30
Dic01;44.68;42.50;2.18;17.28;0.69;0.00;16.27;0.32;313.74;101.29;13.39;2.75;98.69;12.52;29.67;52.93;2.24;0.27;25.74;25.74;0.00;401.44
Ene02;36.12;29.92;6.19;5.76;0.02;0.00;4.93;0.81;262.53;90.45;13.30;9.50;86.09;15.43;10.81;30.01;6.56;0.38;37.66;37.66;0.00;342.06
Feb02;46.90;46.74;0.15;5.03;0.66;0.00;4.07;0.30;257.71;56.59;11.95;4.91;115.90;12.22;13.20;41.08;1.65;0.22;17.65;17.65;0.00;327.28
Mar02;23.11;21.98;1.13;3.05;0.70;0.00;1.71;0.65;331.20;118.51;11.93;8.13;111.00;15.21;23.35;38.90;3.88;0.29;30.23;30.23;0.00;387.58
Abr02;40.87;39.58;1.28;2.78;0.17;0.00;2.07;0.54;288.38;97.37;13.21;9.60;97.23;13.88;19.70;32.40;4.34;0.65;28.24;28.24;0.00;360.26
May02;121.34;115.97;5.37;19.03;0.06;7.85;10.66;0.45;323.46;95.98;13.56;7.91;126.99;15.23;20.59;37.67;5.02;0.49;38.99;38.99;0.00;502.82
Jun02;172.39;150.87;21.52;20.63;0.10;0.00;18.92;1.61;311.98;119.79;12.77;10.16;109.80;14.23;9.19;25.95;9.66;0.42;44.02;44.02;0.00;549.02
Jul02;138.19;127.17;11.02;26.70;0.02;0.01;26.14;0.54;332.98;104.10;16.56;7.22;117.07;17.46;24.34;41.03;4.60;0.60;31.51;31.51;0.00;529.37
Ago02;131.09;121.13;9.96;27.01;0.16;0.00;26.11;0.75;317.57;99.24;13.24;7.46;130.06;13.23;12.33;37.44;3.99;0.58;54.52;54.52;0.00;530.19
Sep02;83.83;78.79;5.04;28.43;0.16;0.00;27.16;1.10;345.29;110.94;13.26;2.53;145.55;15.74;18.04;31.26;7.53;0.44;42.30;42.30;0.00;499.84
Oct02;13.83;13.69;0.14;37.32;0.22;8.41;27.78;0.90;325.16;90.33;12.29;2.17;152.16;10.86;17.58;32.07;7.50;0.20;43.75;43.75;0.00;420.06
Nov02;14.17;13.93;0.24;23.80;0.00;0.00;22.85;0.95;330.64;102.18;11.30;5.80;149.08;17.05;9.58;30.09;5.04;0.51;44.84;44.84;0.00;413.46
Dic02;70.52;63.38;7.14;16.68;0.06;0.00;15.70;0.93;382.06;101.60;11.97;7.55;159.80;13.11;32.07;51.03;4.60;0.32;37.36;37.36;0.00;506.62
Ene03;75.07;70.04;5.03;18.69;0.36;8.55;8.43;1.35;352.51;91.26;17.71;9.27;167.89;17.99;14.27;29.06;4.74;0.32;50.48;50.48;0.00;496.76
Feb03;75.89;68.31;7.58;6.86;0.45;0.00;4.83;1.58;325.88;90.61;14.24;6.94;151.52;14.69;6.60;34.52;6.38;0.37;81.08;81.08;0.00;489.71
Mar03;63.40;62.56;0.84;5.39;0.69;0.00;2.27;2.43;307.48;98.44;11.48;10.17;119.03;14.74;12.13;35.84;5.29;0.36;52.88;52.88;0.00;429.15
Abr03;29.40;28.99;0.41;6.14;0.10;0.00;3.43;2.60;367.47;94.34;15.30;5.07;164.72;13.29;18.11;47.03;9.20;0.41;37.57;37.57;0.00;440.57
May03;83.42;67.87;15.55;11.08;0.63;0.02;9.09;1.34;414.70;106.34;19.62;7.41;185.43;13.02;25.69;50.74;6.01;0.46;51.53;51.53;0.00;560.73
Jun03;134.89;119.08;15.81;20.26;0.04;0.01;19.22;0.99;389.22;87.85;15.07;12.19;179.48;18.56;29.14;36.83;9.37;0.72;45.25;45.25;0.00;589.62
Jul03;124.45;104.63;19.81;34.55;0.71;5.31;26.68;1.85;370.71;74.53;17.78;7.91;184.52;14.64;12.58;50.14;8.16;0.44;39.68;39.68;0.00;569.39
Ago03;58.61;54.58;4.04;25.46;0.07;0.00;23.97;1.41;398.24;110.72;14.57;6.78;178.33;16.98;7.55;51.71;10.95;0.66;57.42;57.42;0.00;539.73
Sep03;38.68;35.70;2.98;27.25;0.90;0.00;25.02;1.33;452.39;131.42;17.76;4.90;221.72;16.93;19.51;29.87;9.26;1.02;30.12;30.12;0.00;548.43
Oct03;30.18;29.33;0.85;31.11;0.33;5.30;24.34;1.14;411.39;103.62;20.72;6.65;176.98;18.31;23.57;54.38;6.54;0.61;74.77;74.77;0.00;547.46
Nov03;34.98;31.71;3.27;20.23;0.52;0.00;18.45;1.25;406.74;121.70;23.94;8.21;177.73;16.69;6.27;36.51;14.82;0.89;44.64;44.64;0.00;506.59
Dic03;72.33;69.44;2.89;17.10;0.90;0.00;15.40;0.80;493.18;149.70;22.86;8.56;194.30;15.21;25.92;72.09;3.88;0.67;55.57;55.57;0.00;638.18
Ene04;68.73;59.75;8.98;11.00;0.22;0.00;9.89;0.88;473.42;101.23;24.55;9.23;212.95;20.67;29.00;52.26;22.84;0.69;65.84;65.84;0.00;618.99
Feb04;47.77;41.64;6.13;6.80;0.23;0.00;5.04;1.53;530.36;201.20;24.49;11.50;203.90;18.17;29.11;30.90;10.19;0.91;52.88;52.88;0.00;637.82
Mar04;64.40;63.81;0.60;4.59;0.48;0.00;2.32;1.79;601.66;216.87;29.00;6.63;204.74;28.37;33.32;48.42;33.02;1.30;54.56;54.56;0.00;725.22
Abr04;54.38;51.95;2.43;12.22;0.49;6.96;3.35;1.42;527.97;138.24;27.23;12.72;191.84;21.23;46.02;63.98;25.79;0.93;44.54;44.54;0.00;639.10
May04;80.76;74.53;6.23;15.73;1.16;0.00;12.55;2.01;564.97;225.53;31.62;11.66;173.27;21.05;29.83;46.60;24.32;1.09;26.20;26.20;0.00;687.66
Jun04;114.33;80.14;34.19;21.94;0.18;0.00;20.52;1.24;533.12;194.26;34.18;12.46;179.66;21.46;16.56;44.68;28.91;0.94;53.87;53.87;0.00;723.25
Jul04;181.50;149.93;31.57;39.29;1.47;0.00;37.29;0.52;569.92;196.47;31.47;11.68;181.39;19.62;41.39;51.65;35.41;0.83;37.68;37.68;0.00;828.39
Ago04;153.20;143.30;9.90;38.96;0.33;0.00;37.87;0.76;605.76;228.21;27.59;5.06;201.21;19.35;28.11;59.19;35.85;1.18;45.77;45.77;0.00;843.69
Sep04;109.62;97.14;12.49;36.25;0.50;0.00;34.37;1.37;649.81;254.72;21.43;13.17;223.72;24.56;25.66;38.29;47.63;0.64;47.92;47.92;0.00;843.60
Oct04;64.13;63.71;0.42;45.32;0.47;0.00;43.61;1.24;673.99;225.28;35.98;4.86;212.65;19.44;43.87;56.14;74.14;1.63;82.07;82.07;0.00;865.51
Nov04;58.04;48.89;9.14;44.60;0.24;0.00;43.42;0.93;588.16;186.32;27.30;15.43;198.03;22.37;35.11;35.06;67.76;0.78;84.02;84.02;0.00;774.81
Dic04;106.82;79.66;27.16;48.42;0.51;7.62;39.64;0.65;804.67;312.31;30.81;14.71;240.93;23.89;31.11;49.67;100.05;1.19;50.61;50.61;0.00;1,010.53
Ene05;125.02;116.22;8.80;20.64;0.30;0.00;20.01;0.33;704.21;258.55;23.81;13.36;167.14;20.72;22.16;56.94;140.19;1.36;71.90;71.90;0.00;921.77
Feb05;62.45;41.19;21.26;14.61;0.59;0.00;13.32;0.70;633.48;195.23;22.69;10.04;216.35;24.12;16.52;66.46;80.74;1.32;98.18;98.18;0.00;808.72
Mar05;98.34;93.04;5.30;5.65;0.41;0.00;4.61;0.62;789.79;237.39;26.88;9.33;238.27;20.21;75.61;78.83;101.84;1.42;114.63;114.63;0.00;1,008.40
Abr05;62.88;52.33;10.55;8.89;0.05;0.00;7.75;1.09;718.34;268.20;30.75;14.13;191.22;27.06;34.15;58.20;93.02;1.59;117.27;117.27;0.00;907.38
May05;138.81;123.83;14.99;24.90;0.37;0.00;23.87;0.66;680.68;223.14;28.78;18.01;201.03;20.82;37.51;58.22;91.49;1.68;130.42;130.42;0.00;974.82
Jun05;209.96;180.76;29.20;31.01;0.03;0.00;30.08;0.89;725.57;224.50;23.88;23.79;238.87;22.16;39.81;71.32;79.82;1.41;112.47;112.47;0.00;1,079.01
Jul05;213.87;185.59;28.29;36.38;0.04;0.00;35.61;0.73;779.02;267.33;28.76;19.21;235.79;23.41;29.93;48.35;123.27;2.97;148.26;148.26;0.00;1,177.54
Ago05;143.08;131.40;11.68;36.69;0.47;0.89;34.19;1.14;782.35;254.38;24.02;17.25;255.60;17.72;49.76;77.76;84.66;1.20;160.54;160.54;0.00;1,122.66
Sep05;63.25;51.72;11.53;49.43;0.39;11.83;36.81;0.40;885.03;338.33;27.29;30.21;295.58;24.17;35.47;50.25;81.44;2.29;142.29;142.29;0.00;1,140.00
Oct05;12.58;12.12;0.46;36.53;0.39;0.00;35.08;1.06;855.60;322.62;17.71;21.47;284.21;25.14;31.49;76.39;74.07;2.49;159.88;159.88;0.00;1,064.59
Nov05;16.12;12.76;3.36;32.80;0.05;0.00;32.47;0.29;959.47;338.90;27.09;27.14;365.84;25.29;43.61;63.55;66.54;1.52;130.83;130.83;0.00;1,139.22
Dic05;156.64;146.50;10.14;33.54;0.20;0.00;32.84;0.50;1,276.31;543.24;19.76;12.13;405.48;29.79;75.43;98.83;89.68;1.97;138.96;138.96;0.00;1,605.45
Ene06;152.45;121.63;30.82;27.60;0.62;8.88;17.58;0.52;766.18;261.39;11.95;14.53;286.90;29.14;28.11;68.47;64.09;1.61;99.36;99.36;0.00;1,045.60
Feb06;107.16;97.35;9.81;9.28;0.44;0.00;8.28;0.55;865.88;292.04;24.95;20.66;301.91;28.23;33.97;98.18;62.70;3.24;114.13;114.13;0.00;1,096.46
Mar06;89.98;88.16;1.82;16.81;0.43;9.21;6.19;0.98;1,069.55;398.62;37.72;33.20;344.90;42.83;41.53;90.05;78.07;2.64;162.60;162.60;0.00;1,338.95
