PERIDO;XNT;IMP;BALANZA
18/03/1994;544.2304894;635.566324;-91.3358346
19/03/1994;608.780497;640.4659375;-31.68544048
20/03/1994;629.5398791;602.9965088;26.54337035
21/03/1994;628.0471864;627.9865586;0.060627833
22/03/1994;543.1761962;554.238639;-11.06244282
23/03/1994;680.0755017;711.7902182;-31.71471649
24/03/1994;547.7837389;640.0432452;-92.2595063
25/03/1994;630.3229616;605.6632832;24.65967846
26/03/1994;550.6215098;591.5986634;-40.97715361
27/03/1994;527.2740613;643.5540176;-116.2799563
28/03/1994;535.8882256;598.8203214;-62.93209576
29/03/1994;537.3806305;581.2650241;-43.88439354
30/03/1994;592.8741827;649.8192603;-56.9450776
31/03/1994;607.3340517;526.9655609;80.36849079
1/04/1994;707.8992414;634.8649413;73.03430013
2/04/1994;641.301665;630.1535219;11.14814314
3/04/1994;539.7218943;591.068049;-51.34615467
4/04/1994;599.3464324;615.2726565;-15.92622407
5/04/1994;579.6890548;586.8957576;-7.206702805
6/04/1994;606.3989886;554.2004516;52.19853704
7/04/1994;519.3711961;587.516756;-68.14555987
8/04/1994;503.9798892;532.230273;-28.25038378
9/04/1994;563.3313937;511.043122;52.28827174
10/04/1994;537.4753415;650.979991;-113.5046495
11/04/1994;682.1651894;658.833646;23.33154339
12/04/1994;760.6211474;537.56318;223.0579674
13/04/1994;718.7314794;672.499471;46.2320084
14/04/1994;721.5281755;611.833721;109.6944545
15/04/1994;700.4994432;670.655867;29.84357617
16/04/1994;637.6300352;655.942689;-18.31265377
17/04/1994;617.4545873;630.878405;-13.42381765
18/04/1994;751.1121222;672.81516;78.29696217
19/04/1994;697.2217466;709.9147803;-12.69303375
20/04/1994;689.9004249;613.4443641;76.45606083
21/04/1994;643.7957774;705.7459198;-61.95014244
22/04/1994;643.2822117;684.1926518;-40.91044013
23/04/1994;763.7649106;626.1795851;137.5853256
24/04/1994;813.7482061;659.4696078;154.2785983
25/04/1994;794.1372405;726.5432812;67.59395933
26/04/1994;768.3557528;652.8156287;115.5401241
27/04/1994;787.6249305;695.0654104;92.55952014
28/04/1994;800.6277805;724.8173421;75.81043833
29/04/1994;769.401596;684.7815941;84.62000185
30/04/1994;918.8721296;721.8786019;196.9935278
1/05/1994;880.1745524;692.993258;187.1812944
2/05/1994;903.9941782;656.387817;247.6063612
3/05/1994;1010.527218;768.861821;241.665397
4/05/1994;891.6843865;831.583852;60.10053451
5/05/1994;988.8424768;759.569101;229.2733758
6/05/1994;993.5654281;826.435431;167.1299971
7/05/1994;1140.181208;788.029757;352.1514505
8/05/1994;1155.976786;898.364601;257.6121849
9/05/1994;1148.524348;854.09932;294.4250276
10/05/1994;1192.142892;853.765054;338.3778381
11/05/1994;1106.474226;905.307763;201.1664634
12/05/1994;1397.081714;969.378205;427.7035095
13/05/1994;1264.054016;917.979251;346.0747649
14/05/1994;1136.996685;806.797617;330.1990683
15/05/1994;1347.493926;935.096576;412.3973498
16/05/1994;1257.7947;1056.667343;201.127357
17/05/1994;1354.778682;993.648561;361.1301207
18/05/1994;1421.94094;956.136976;465.8039635
19/05/1994;1558.409371;1046.724811;511.6845601
20/05/1994;1491.785417;1092.395784;399.3896331
21/05/1994;1505.145959;1022.394293;482.7516663
22/05/1994;1468.871757;1089.705114;379.1666426
23/05/1994;1546.312526;1113.658071;432.6544551
24/05/1994;2014.100289;1050.404394;963.6958946
25/05/1994;1430.559044;1069.649609;360.9094353
26/05/1994;1448.149881;1027.01887;421.1310106
27/05/1994;1745.905745;1283.817608;462.0881368
28/05/1994;1821.840024;1113.051012;708.7890116
29/05/1994;1944.421948;1253.409968;691.0119804
30/05/1994;2043.003199;1263.142218;779.860981
31/05/1994;2363.311208;1195.581395;1167.729813
1/06/1994;2018.639373;1249.872375;768.7669984
2/06/1994;2168.103852;1225.122354;942.9814978
3/06/1994;2070.539802;1401.400576;669.1392264
4/06/1994;2191.354689;1336.523167;854.8315223
5/06/1994;2584.318479;1425.492943;1158.825536
6/06/1994;1747.482809;1438.080936;309.4018728
7/06/1994;1907.756777;1365.377096;542.3796812
8/06/1994;2099.541197;1404.757017;694.7841801
9/06/1994;2119.749863;1471.968527;647.7813361
10/06/1994;2144.563295;1485.14616;659.4171355
11/06/1994;2455.693704;1533.249193;922.4445113
12/06/1994;2712.296469;1759.123195;953.1732743
13/06/1994;2373.982006;1819.265658;554.7163482
14/06/1994;2553.700443;1710.447906;843.2525367
15/06/1994;2667.958521;2034.678287;633.2802339
16/06/1994;2358.030411;1771.315003;586.7154075
17/06/1994;2953.263631;1797.112801;1156.15083
18/06/1994;2551.839914;2188.649117;363.1907975
19/06/1994;2483.052846;1881.609041;601.4438055
20/06/1994;2768.978524;2196.165372;572.8131519
21/06/1994;2692.249442;2309.882118;382.367324
22/06/1994;2879.374663;2480.626384;398.7482786
23/06/1994;2812.696834;2762.44353;50.25330437
24/06/1994;3012.575021;2760.263528;252.3114931
25/06/1994;2875.172847;2469.46162;405.7112266
26/06/1994;2616.263686;2747.770358;-131.5066724
27/06/1994;2294.75982;2694.620713;-399.8608931
28/06/1994;2067.228376;2036.325163;30.9032133
29/06/1994;1964.287651;1921.364925;42.92272576
30/06/1994;1630.568677;1772.252171;-141.6834937
1/07/1994;1815.173217;1540.958842;274.2143748
2/07/1994;1962.661659;1570.20896;392.4526989
3/07/1994;1789.225307;1673.794195;115.4311116
4/07/1994;2154.836299;1486.266123;668.5701759
5/07/1994;2192.336862;1666.595754;525.7411077
6/07/1994;2344.948156;1749.415622;595.5325343
7/07/1994;2332.326151;1738.205947;594.1202043
8/07/1994;2519.383151;1842.590807;676.7923442
9/07/1994;2579.051017;1950.613251;628.4377658
10/07/1994;2718.736701;2014.115348;704.6213533
11/07/1994;3031.272428;2005.670556;1025.601872
12/07/1994;2438.843321;2074.570715;364.2726056
13/07/1994;2649.190968;1873.813054;775.377914
14/07/1994;2817.377548;2387.425635;429.9519134
15/07/1994;2671.194295;2227.928462;443.2658332
16/07/1994;2391.152686;2088.208512;302.9441737
17/07/1994;3153.32148;2294.014928;859.3065517
18/07/1994;3035.359385;2538.805262;496.5541234
19/07/1994;3035.649195;2578.924988;456.7242068
20/07/1994;3311.484414;2697.525481;613.9589331
21/07/1994;3170.407615;2663.382418;507.0251967
22/07/1994;3356.100622;2704.530841;651.5697806
23/07/1994;3772.999286;2686.18917;1086.810116
24/07/1994;2964.116729;2713.784249;250.3324798
25/07/1994;3377.975999;2582.04826;795.9277389
26/07/1994;3751.350853;2901.993709;849.3571444
27/07/1994;3417.512354;3134.916423;282.5959314
28/07/1994;4105.472571;3230.438229;875.0343421
29/07/1994;4204.127674;3241.59809;962.5295843
30/07/1994;4194.854676;3040.922441;1153.932235
31/07/1994;4554.916339;3458.44632;1096.470019
1/08/1994;3977.819453;3192.661569;785.1578835
2/08/1994;3935.996817;3155.162154;780.834663
3/08/1994;3352.2842;3250.1746;102.1095995
4/08/1994;4539.533889;3249.375556;1290.158333
5/08/1994;4029.249321;3285.080152;744.169169
6/08/1994;3823.886888;2861.154786;962.7321019
7/08/1994;4166.010075;3378.420809;787.5892663
8/08/1994;3226.980933;3188.973591;38.00734155
9/08/1994;3718.071656;3554.530094;163.5415619
10/08/1994;3871.230688;3230.362951;640.8677371
11/08/1994;4084.634738;3717.357437;367.2773013
12/08/1994;3989.390295;3790.516065;198.8742297
13/08/1994;4185.803215;3482.645289;703.1579258
14/08/1994;4083.661953;3760.740804;322.9211493
15/08/1994;4031.404145;3589.335892;442.068253
16/08/1994;4200.282774;3178.81927;1021.463504
17/08/1994;3493.219433;3944.036493;-450.8170602
18/08/1994;3261.405935;3175.049568;86.3563666
19/08/1994;3753.81532;3275.682095;478.1332254
20/08/1994;3229.151231;3514.591854;-285.440623
21/08/1994;3547.039691;3797.288927;-250.2492363
22/08/1994;3344.668796;3202.70725;141.9615461
23/08/1994;3444.824009;3760.469314;-315.6453051
24/08/1994;4186.120731;3945.285051;240.8356803
25/08/1994;3632.993596;3424.067778;208.9258181
26/08/1994;3674.127315;3782.648044;-108.5207294
27/08/1994;3429.257903;3388.113687;41.14421621
28/08/1994;3864.012634;3146.244654;717.7679804
29/08/1994;3168.736751;3845.008939;-676.2721884
30/08/1994;3330.260079;2969.923897;360.3361816
31/08/1994;3280.73904;3370.547117;-89.8080774
1/09/1994;3127.165705;3570.356747;-443.1910419
2/09/1994;3126.153122;3486.425295;-360.2721731
3/09/1994;3238.087632;3306.79374;-68.70610818
4/09/1994;3365.763036;3561.591514;-195.8284777
5/09/1994;3623.606791;3647.034267;-23.42747586
6/09/1994;3374.642041;3374.788358;-0.146317297
7/09/1994;3362.857189;3555.287862;-192.4306735
8/09/1994;3154.905388;3255.535015;-100.6296273
9/09/1994;3379.766114;3098.857799;280.9083152
10/09/1994;2822.267139;3253.423962;-431.1568231
11/09/1994;2626.745001;2761.347653;-134.6026518
12/09/1994;2698.807995;3238.876411;-540.0684163
13/09/1994;2421.500669;3032.396463;-610.8957942
14/09/1994;2662.084386;3022.016077;-359.9316913
15/09/1994;3199.341139;3290.524943;-91.18380406
16/09/1994;2859.015844;3145.971471;-286.9556269
17/09/1994;3051.087217;3161.082607;-109.9953902
18/09/1994;2729.022606;3113.110681;-384.0880745
19/09/1994;3113.615236;3110.357848;3.25738811
20/09/1994;2945.705987;3201.162128;-255.4561411
21/09/1994;3285.161307;3000.519883;284.6414237
22/09/1994;2474.893622;2979.949379;-505.0557574
23/09/1994;2456.805456;2585.864965;-129.0595086
24/09/1994;2822.107495;2815.308987;6.798507835
25/09/1994;2804.390958;2745.848431;58.54252681
26/09/1994;2858.180984;2765.639127;92.54185716
27/09/1994;2703.827929;2887.98386;-184.155931
28/09/1994;3351.893969;2759.78091;592.1130591
29/09/1994;3260.036914;3168.684227;91.35268733
30/09/1994;3263.126228;3178.674259;84.45196892
1/10/1994;3561.834197;3192.839057;368.9951395
2/10/1994;3408.825117;3018.546003;390.279114
3/10/1994;4115.815174;3029.28007;1086.535104
4/10/1994;3296.82606;2969.170408;327.6556524
5/10/1994;3576.412708;2840.548472;735.8642359
6/10/1994;3300.157775;3182.02577;118.1320054
7/10/1994;3139.652109;2976.994958;162.6571509
8/10/1994;3547.043869;3170.394618;376.6492513
9/10/1994;3869.539534;3066.052843;803.4866911
10/10/1994;3447.17821;3204.606006;242.5722043
11/10/1994;4067.440811;3504.710319;562.7304916
12/10/1994;4393.67407;3311.473015;1082.201055
13/10/1994;3986.555447;3603.800491;382.7549563
14/10/1994;4212.709773;3547.727187;664.9825856
15/10/1994;4584.403078;3344.572284;1239.830794
16/10/1994;4088.623883;3406.492668;682.131215
17/10/1994;3670.977832;3107.282029;563.6958035
18/10/1994;4191.504204;3524.782538;666.7216656
19/10/1994;3807.1779;3466.81795;340.35995
20/10/1994;4245.000865;3665.492813;579.5080518
21/10/1994;4540.591382;3371.334281;1169.257101
22/10/1994;4097.842307;3541.487994;556.3543132
23/10/1994;4058.526586;3848.426396;210.1001897
24/10/1994;3885.873007;3371.543083;514.3299243
25/10/1994;3989.092517;4012.519271;-23.42675441
26/10/1994;4168.987781;3430.257261;738.7305201
27/10/1994;4322.277545;3123.504827;1198.772718
28/10/1994;3943.28895;3484.889579;458.3993705
29/10/1994;3517.687545;3213.718552;303.9689934
30/10/1994;3751.809214;3278.072717;473.7364973
31/10/1994;3780.779603;3476.626581;304.1530223
1/11/1994;3699.759641;3557.612052;142.1475894
2/11/1994;4094.825822;3180.463228;914.3625937
3/11/1994;4214.705899;3535.247961;679.4579375
4/11/1994;3928.751782;3622.682147;306.0696346
5/11/1994;3993.749596;3385.4821;608.2674962
6/11/1994;4158.345357;3713.63831;444.7070466
7/11/1994;4026.742393;3257.693683;769.0487098
8/11/1994;4869.994339;3399.405858;1470.588481
9/11/1994;3892.657243;3601.004738;291.6525046
10/11/1994;3549.268038;2983.767691;565.5003465
11/11/1994;2838.485695;2578.047258;260.4384367
12/11/1994;1863.076107;2321.930757;-458.8546501
13/11/1994;2005.066119;2214.862691;-209.7965716
14/11/1994;2902.710435;2261.729305;640.9811305
15/11/1994;3697.106247;2725.777947;971.3283001
16/11/1994;3640.107249;2768.433739;871.6735098
17/11/1994;4369.972516;2972.441545;1397.530971
18/11/1994;4741.260613;3240.93162;1500.328993
19/11/1994;4382.181779;3319.460445;1062.721334
20/11/1994;5023.398903;3724.87236;1298.526543
21/11/1994;4535.245259;3367.746363;1167.498896
22/11/1994;4481.306858;3516.307877;964.998981
23/11/1994;4631.706327;3997.881771;633.824556
24/11/1994;4658.122252;3984.106811;674.0154408
25/11/1994;4977.962634;4038.277251;939.6853825
26/11/1994;4928.709715;3946.904897;981.8048182
27/11/1994;5176.222578;4093.753741;1082.468837
28/11/1994;5568.497659;4163.860917;1404.636742
29/11/1994;5818.521684;4197.861456;1620.660228
30/11/1994;5715.738609;4281.430531;1434.308078
1/12/1994;6275.446168;4164.205772;2111.240396
2/12/1994;6338.848501;4601.584161;1737.26434
