Fecha,Exportaciones
2011-09-30,3977.819453
2011-10-31,3935.996817
2011-11-30,3352.2842
2011-12-31,4539.533889
2012-01-31,4029.249321
2012-02-29,3823.886888
2012-03-31,4166.010075
2012-04-30,3226.980933
2012-05-31,3718.071656
2012-06-30,3871.230688
2012-07-31,4084.634738
2012-08-31,3989.390295
2012-09-30,4185.803215
2012-10-31,4083.661953
2012-11-30,4031.404145
2012-12-31,4200.282774
2013-01-31,3493.219433
2013-02-28,3261.405935
2013-03-31,3753.81532
2013-04-30,3229.151231
2013-05-31,3547.039691
2013-06-30,3344.668796
2013-07-31,3444.824009
2013-08-31,4186.120731
2013-09-30,3632.993596
2013-10-31,3674.127315
2013-11-30,3429.257903
2013-12-31,3864.012634
2014-01-31,3168.736751
2014-02-28,3330.260079
2014-03-31,3280.73904
2014-04-30,3127.165705
2014-05-31,3126.153122
2014-06-30,3238.087632
2014-07-31,3365.763036
2014-08-31,3623.606791
2014-09-30,3374.642041
2014-10-31,3362.857189
2014-11-30,3154.905388
2014-12-31,3379.766114
2015-01-31,2822.267139
2015-02-28,2626.745001
2015-03-31,2698.807995
2015-04-30,2421.500669
2015-05-31,2662.084386
2015-06-30,3199.341139
2015-07-31,2859.015844
2015-08-31,3051.087217
2015-09-30,2729.022606
2015-10-31,3113.615236
2015-11-30,2945.705987
2015-12-31,3285.161307
2016-01-31,2474.893622
2016-02-29,2456.805456
2016-03-31,2822.107495
2016-04-30,2804.390958
2016-05-31,2858.180984
2016-06-30,2703.827929
2016-07-31,3351.893969
2016-08-31,3260.036914
2016-09-30,3263.126228
2016-10-31,3561.834197
2016-11-30,3408.825117
2016-12-31,4115.815174
2017-01-31,3296.82606
2017-02-28,3576.412708
2017-03-31,3300.157775
2017-04-30,3139.652109
2017-05-31,3547.043869
2017-06-30,3869.539534
2017-07-31,3447.17821
2017-08-31,4067.440811
2017-09-30,4393.67407
2017-10-31,3986.555447
2017-11-30,4212.709773
2017-12-31,4584.403078
2018-01-31,4088.623883
2018-02-28,3670.977832
2018-03-31,4191.504204
2018-04-30,3807.1779
2018-05-31,4245.000865
2018-06-30,4540.591382
2018-07-31,4097.842307
2018-08-31,4058.526586
2018-09-30,3885.873007
2018-10-31,3989.092517
2018-11-30,4168.987781
2018-12-31,4322.277545
2019-01-31,3943.28895
2019-02-28,3517.687545
2019-03-31,3751.809214
2019-04-30,3780.779603
2019-05-31,3699.759641
2019-06-30,4094.825822
2019-07-31,4214.705899
2019-08-31,3928.751782
2019-09-30,3993.749596
2019-10-31,4158.345357
2019-11-30,4026.742393
2019-12-31,4869.994339
2020-01-31,3892.657243
2020-02-29,3549.268038
2020-03-31,2838.485695
2020-04-30,1863.076107
2020-05-31,2005.066119
2020-06-30,2902.710435
2020-07-31,3697.106247
2020-08-31,3640.107249
2020-09-30,4369.972516
2020-10-31,4741.260613
2020-11-30,4382.181779
2020-12-31,5023.398903
2021-01-31,4535.245259
2021-02-28,4481.306858
2021-03-31,4631.706327
2021-04-30,4658.122252
2021-05-31,4977.962634
2021-06-30,4928.709715
2021-07-31,5176.222578
2021-08-31,5568.497659
2021-09-30,5818.521684
2021-10-31,5715.738609
2021-11-30,6275.446168
2021-12-31,6338.848501
